condition,UP,DN,UP_LANE,DN_LANE
Temp37,A_Temp1_UP,A_Temp1_DN,37_1_A_S7_L001_UP,37_1_A_S7_L001_DOWN
Temp37,A_Temp1_UP,A_Temp1_DN,37_1_A_S7_L002_UP,37_1_A_S7_L002_DOWN
Temp37,A_Temp1_UP,A_Temp1_DN,37_1_A_S7_L003_UP,37_1_A_S7_L003_DOWN
Temp37,A_Temp1_UP,A_Temp1_DN,37_1_A_S7_L004_UP,37_1_A_S7_L004_DOWN
Temp37,B_Temp1_UP,B_Temp1_DN,37_1_B_S8_L001_UP,37_1_B_S8_L001_DOWN
Temp37,B_Temp1_UP,B_Temp1_DN,37_1_B_S8_L002_UP,37_1_B_S8_L002_DOWN
Temp37,B_Temp1_UP,B_Temp1_DN,37_1_B_S8_L003_UP,37_1_B_S8_L003_DOWN
Temp37,B_Temp1_UP,B_Temp1_DN,37_1_B_S8_L004_UP,37_1_B_S8_L004_DOWN
Temp37,C_Temp1_UP,C_Temp1_DN,37_1_C_S9_L001_UP,37_1_C_S9_L001_DOWN
Temp37,C_Temp1_UP,C_Temp1_DN,37_1_C_S9_L002_UP,37_1_C_S9_L002_DOWN
Temp37,C_Temp1_UP,C_Temp1_DN,37_1_C_S9_L003_UP,37_1_C_S9_L003_DOWN
Temp37,C_Temp1_UP,C_Temp1_DN,37_1_C_S9_L004_UP,37_1_C_S9_L004_DOWN
Temp37,A_Temp2_UP,A_Temp2_DN,37_2_A_S25_L001_UP,37_2_A_S25_L001_DOWN
Temp37,A_Temp2_UP,A_Temp2_DN,37_2_A_S25_L002_UP,37_2_A_S25_L002_DOWN
Temp37,A_Temp2_UP,A_Temp2_DN,37_2_A_S25_L003_UP,37_2_A_S25_L003_DOWN
Temp37,A_Temp2_UP,A_Temp2_DN,37_2_A_S25_L004_UP,37_2_A_S25_L004_DOWN
Temp37,B_Temp2_UP,B_Temp2_DN,37_2_B_S26_L001_UP,37_2_B_S26_L001_DOWN
Temp37,B_Temp2_UP,B_Temp2_DN,37_2_B_S26_L002_UP,37_2_B_S26_L002_DOWN
Temp37,B_Temp2_UP,B_Temp2_DN,37_2_B_S26_L003_UP,37_2_B_S26_L003_DOWN
Temp37,B_Temp2_UP,B_Temp2_DN,37_2_B_S26_L004_UP,37_2_B_S26_L004_DOWN
Temp37,C_Temp2_UP,C_Temp2_DN,37_2_C_S27_L001_UP,37_2_C_S27_L001_DOWN
Temp37,C_Temp2_UP,C_Temp2_DN,37_2_C_S27_L002_UP,37_2_C_S27_L002_DOWN
Temp37,C_Temp2_UP,C_Temp2_DN,37_2_C_S27_L003_UP,37_2_C_S27_L003_DOWN
Temp37,C_Temp2_UP,C_Temp2_DN,37_2_C_S27_L004_UP,37_2_C_S27_L004_DOWN
