"orf19"	"feature"	"common"	"description"	"plate"	"position"	"A_Temp1_UP"	"A_Temp1_DN"	"B_Temp1_UP"	"B_Temp1_DN"	"C_Temp1_UP"	"C_Temp1_DN"	"A_Temp2_UP"	"A_Temp2_DN"	"B_Temp2_UP"	"B_Temp2_DN"	"C_Temp2_UP"	"C_Temp2_DN"	"A_Temp1_DOX_UP"	"A_Temp1_DOX_DN"	"B_Temp1_DOX_UP"	"B_Temp1_DOX_DN"	"C_Temp1_DOX_UP"	"C_Temp1_DOX_DN"	"A_Temp2_DOX_UP"	"A_Temp2_DOX_DN"	"B_Temp2_DOX_UP"	"B_Temp2_DOX_DN"	"C_Temp2_DOX_UP"	"C_Temp2_DOX_DN"	"A_YNB1_UP"	"A_YNB1_DN"	"B_YNB1_UP"	"B_YNB1_DN"	"C_YNB1_UP"	"C_YNB1_DN"	"A_YNB1_DOX_UP"	"A_YNB1_DOX_DN"	"B_YNB1_DOX_UP"	"B_YNB1_DOX_DN"	"C_YNB1_DOX_UP"	"C_YNB1_DOX_DN"	"A_YNB2_UP"	"A_YNB2_DN"	"B_YNB2_UP"	"B_YNB2_DN"	"C_YNB2_UP"	"C_YNB2_DN"	"A_YNB2_DOX_UP"	"A_YNB2_DOX_DN"	"B_YNB2_DOX_UP"	"B_YNB2_DOX_DN"	"C_YNB2_DOX_UP"	"C_YNB2_DOX_DN"	"A_YNB3_UP"	"A_YNB3_DN"	"B_YNB3_UP"	"B_YNB3_DN"	"C_YNB3_UP"	"C_YNB3_DN"	"A_YNB3_DOX_UP"	"A_YNB3_DOX_DN"	"B_YNB3_DOX_UP"	"B_YNB3_DOX_DN"	"C_YNB3_DOX_UP"	"C_YNB3_DOX_DN"	"A_YNB4_UP"	"A_YNB4_DN"	"B_YNB4_UP"	"B_YNB4_DN"	"C_YNB4_UP"	"C_YNB4_DN"	"A_YNB4_DOX_UP"	"A_YNB4_DOX_DN"	"B_YNB4_DOX_UP"	"B_YNB4_DOX_DN"	"C_YNB4_DOX_UP"	"C_YNB4_DOX_DN"	"A_YNB5_UP"	"A_YNB5_DN"	"B_YNB5_UP"	"B_YNB5_DN"	"C_YNB5_UP"	"C_YNB5_DN"	"A_YNB5_DOX_UP"	"A_YNB5_DOX_DN"	"B_YNB5_DOX_UP"	"B_YNB5_DOX_DN"	"C_YNB5_DOX_UP"	"C_YNB5_DOX_DN"
"orf19.6109"	"C1_00060W_A"	"TUP1"	"Transcriptional corepressor; represses filamentous growth; regulates switching; role in germ tube induction, farnesol response; in repression pathways with Nrg1, Rfg1; farnesol upregulated in biofilm; rat catheter, Spider biofilm repressed"	"GELCPlate 01"	"G07"	429	523	515	464	301	281	2364	2660	444	363	151	141	595	459	195	170	862	979	905	751	616	567	416	516	1265	892	2161	895	2064	1299	1634	888	2856	1224	918	576	1904	1204	815	712	4128	3071	304	109	377	127	614	354	1808	1094	1253	838	2329	1675	645	443	412	280	154	112	695	670	1684	1120	932	779	440	409	578	459	1478	907	1364	1119	1744	1620	1458	1396	926	594	1356	833	1597	1293
"orf19.6096"	"C1_00120C_A"	"TRP1"	"Phosphoribosylanthranilate isomerase; tryptophan biosynthesis; expected unifunctional, unlike trifunctional enzyme of some other fungi; complements E. coli trpC, S. cerevisiae trp1 mutant; CCT1 and TRP1 overlap; Spider biofilm repressed"	"Plate 19"	"G09"	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	34	0	0	0	0	0	92	0	0	0	0	0	6	0	36	0	69	0	42	0	4	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	72	0	112	0	1	0	3	0	0	0	14	0	83	0	19	0
"orf19.6094"	"C1_00130C_A"	"VPS53"	"Ortholog(s) have role in Golgi to vacuole transport, cellular sphingolipid homeostasis, retrograde transport, endosome to Golgi and GARP complex, cytosol localization"	"Plate 04"	"B01"	859	0	1438	0	1124	0	442	0	786	0	991	0	305	0	151	0	274	0	146	0	118	0	133	0	1431	0	1385	0	1123	0	767	0	808	0	731	0	922	0	989	0	1306	0	483	0	443	0	323	0	918	0	1023	0	914	0	477	0	552	0	633	0	857	0	1379	0	837	0	364	0	344	0	404	0	1682	0	1402	0	1575	0	438	0	549	0	754	0
"orf19.6091"	"C1_00150C_A"	"RIM8"	"Beta-arrestin-like protein; involved in pH response; required for pathogenesis, activation of Rim101 and alkaline pH-induced hyphal growth; colony morphology-related gene regulation by Ssn6p negative feedback regulation target"	"Plate 13"	"H05"	917	936	1685	1481	861	753	514	722	534	651	743	553	1804	1421	1817	2646	2985	2972	1358	1528	1488	1528	1164	1226	1009	837	860	432	1301	929	1187	918	1605	962	1971	1356	1192	779	1566	1559	1054	719	1579	1033	2311	1522	1655	1550	1147	941	2938	2341	1269	1205	1144	959	1404	1171	1371	1292	1076	843	1134	846	981	857	989	1016	715	675	1303	1413	1437	1312	1280	1175	1600	1472	1722	1201	1982	1783	2378	2476
"orf19.6090"	"C1_00160C_A"	"NSR1"	"Putative nucleolar protein with a predicted role in pre-rRNA processing and ribosome biogenesis; repressed by nitric oxide; required for flow model biofilm formation; Spider biofilm repressed"	"GELCPlate 01"	"G08"	88	93	23	33	2	19	3	7	9	9	5	16	347	400	299	767	341	514	461	782	531	898	364	690	129	69	269	202	166	139	290	287	324	343	310	359	105	109	110	202	66	63	503	468	317	304	215	360	202	234	47	62	47	87	269	311	308	353	241	424	63	51	91	140	44	101	376	413	315	493	350	427	125	132	58	72	118	135	205	228	224	256	235	292
"orf19.6086"	"C1_00170W_A"	"LEU4"	"Putative 2-isopropylmalate synthase; regulated by Nrg1, Mig1, Tup1, Gcn4; induced by human whole blood or PMNs; macrophage/pseudohyphal-repressed after 16h; Spider biofilm repressed"	"Plate 24"	"D11"	918	1495	1454	1736	611	728	650	1281	897	1570	663	737	1343	1609	861	1565	1522	2418	644	1054	757	1192	440	798	1718	1471	3148	1820	1314	1116	2134	1843	1403	1130	1555	1482	978	818	573	772	819	954	1148	1126	1166	1023	1917	2633	1075	1271	796	799	613	981	1018	1322	1232	1631	892	1466	827	950	607	659	744	1082	1109	1474	924	1190	1347	1775	1606	1619	1243	1306	1596	1995	1434	1314	1032	1235	1994	2316
"orf19.6082"	"C1_00210C_A"	"GSF2"	"Ortholog(s) have unfolded protein binding activity, role in protein folding, protein localization to cell surface and integral component of endoplasmic reticulum membrane, mitochondrial outer membrane localization"	"Plate 08"	"H07"	15	22	5	6	17	4	63	100	33	46	64	51	117	146	32	82	307	255	176	175	61	73	64	59	72	46	124	73	349	196	284	174	159	86	172	112	37	19	198	211	64	40	21	25	54	32	108	126	152	113	105	81	95	124	68	74	88	80	85	64	140	133	78	61	73	74	44	44	183	160	31	32	146	91	308	257	119	93	141	77	106	88	165	137
"orf19.6081"	"C1_00220W_A"	"GAS1"	"Glycosidase; role in vaginal not systemic infection (low pH not neutral); low pH, high iron, fluconazole, Hap43-induced; Rim101-repressed at pH8; rat catheter biofilm induced; Bcr1-repressed in RPMI a/a biofilms"	"Plate 12"	"H12"	1552	1372	2001	1611	1703	1361	850	1039	1352	1320	1225	876	234	182	123	159	235	209	139	129	98	84	156	130	1668	875	1829	776	1958	1056	570	402	774	404	701	444	1902	1080	1076	876	1447	857	445	262	607	324	413	301	2302	1639	1766	1208	1295	1272	339	306	247	202	366	332	1498	1035	2435	1391	1520	1016	527	414	312	288	395	292	2370	1846	1691	1403	1355	1072	683	353	692	549	611	491
"orf19.6072"	"C1_00360W_A"	"CDC13"	"Essential protein with similarity to S. cerevisiae Cdc13p, involved in telomere maintenance"	"GELCPlate 02"	"A11"	826	659	605	473	722	567	269	371	511	417	460	312	444	297	650	764	986	1084	647	593	407	347	409	375	478	245	794	233	724	282	1095	239	1035	479	749	385	391	201	368	319	630	401	731	198	798	427	658	575	719	535	759	486	429	450	808	624	599	523	649	675	612	393	614	309	254	248	483	189	594	405	837	675	787	491	840	504	699	467	814	430	1092	694	818	672
"orf19.6071"	"C1_00380C_A"	"MDM20"	"Ortholog(s) have peptide alpha-N-acetyltransferase activity and role in N-terminal peptidyl-methionine acetylation, cytoskeleton organization, mitochondrion inheritance, regulation of actin cytoskeleton organization"	"Plate 05"	"C10"	608	0	1264	0	1062	0	701	0	629	0	879	0	613	0	414	0	383	0	431	0	609	0	585	0	719	0	1107	0	649	0	928	0	985	0	734	0	742	0	1347	0	955	0	572	0	475	0	574	0	1168	0	1002	0	545	0	361	0	489	0	495	0	783	0	1408	0	667	0	807	0	361	0	623	0	1301	0	679	0	1082	0	667	0	874	0	758	0
