ID	Name	Genes	Length
1	GO:0000001 mitochondrion inheritance	orf19.6987;orf19.6071;orf19.4715;orf19.2987;orf19.6639;orf19.6016;orf19.7619;orf19.6246;orf19.357;orf19.6151;orf19.5015;orf19.7292;orf19.4629;orf19.4785;orf19.5973;orf19.2565;orf19.5117;orf19.6900	18
2	GO:0000002 mitochondrial genome maintenance	orf19.7538;orf19.5704;orf19.439;orf19.6672;orf19.3431;orf19.150;orf19.4392;orf19.88;orf19.2483;orf19.6385;orf19.4197;orf19.4380.1;orf19.400;orf19.1360;orf19.6041;orf19.6133;orf19.685;orf19.1466;orf19.3264;orf19.4499;orf19.2690;orf19.6208;orf19.882;orf19.2956;orf19.7661;orf19.4187;orf19.6100;orf19.5986;orf19.7449;orf19.496;orf19.3057	31
3	GO:0000003 reproduction	orf19.7247;orf19.971;orf19.5292;orf19.796;orf19.4015;orf19.7196;orf19.4699;orf19.829;orf19.1623;orf19.4519;orf19.5610;orf19.7359;orf19.6787;orf19.2886;orf19.5188;orf19.5691;orf19.1779;orf19.3298;orf19.7079;orf19.5148;orf19.1693;orf19.3166;orf19.138;orf19.6926;orf19.3212;orf19.118;orf19.6906;orf19.5528;orf19.3801;orf19.799;orf19.4349;orf19.7572;orf19.2164.1;orf19.2190;orf19.2277;orf19.4645;orf19.554;orf19.5903;orf19.2324;orf19.1760;orf19.886;orf19.1448.1;orf19.3541;orf19.3200;orf19.1960;orf19.807;orf19.1621;orf19.7150;orf19.403;orf19.1156;orf19.5867;orf19.6362;orf19.5426;orf19.6452;orf19.548;orf19.3818;orf19.7298;orf19.3751;orf19.4252;orf19.3174;orf19.3765;orf19.5031;orf19.5087;orf19.4890;orf19.7401;orf19.390;orf19.1835;orf19.4413;orf19.4615;orf19.6760;orf19.7124;orf19.4884;orf19.1833;orf19.353;orf19.3995;orf19.1842;orf19.4937;orf19.3088;orf19.895;orf19.5117;orf19.5410;orf19.3888;orf19.469;orf19.4242;orf19.3014;orf19.4433;orf19.2299;orf19.2180;orf19.4257;orf19.4222;orf19.738;orf19.7342;orf19.2614;orf19.940;orf19.5662;orf19.460;orf19.6846;orf19.4403;orf19.610;orf19.10712	100
4	GO:0000011 vacuole inheritance	orf19.2245;orf19.7611;orf19.6364;orf19.1513;orf19.1409;orf19.6848;orf19.745;orf19.5533;orf19.5618;orf19.5015;orf19.5007;orf19.2974;orf19.4890;orf19.7642;orf19.130;orf19.4292;orf19.4858;orf19.5875;orf19.4242;orf19.5662	20
5	GO:0000018 regulation of DNA recombination	orf19.4206;orf19.1755;orf19.2873;orf19.2983;orf19.96;orf19.5934;orf19.2580;orf19.5137.1;orf19.2857;orf19.1992;orf19.3760;orf19.4725;orf19.1648;orf19.6133;orf19.6801;orf19.5335;orf19.2919;orf19.3476;orf19.1446;orf19.4761;orf19.3856;orf19.5970;orf19.2331;orf19.7119;orf19.429;orf19.1874;orf19.245;orf19.3613;orf19.895;orf19.3648;orf19.4136	31
6	GO:0000019 regulation of mitotic recombination	orf19.2873;orf19.96;orf19.2580;orf19.2857;orf19.4761;orf19.7119;orf19.4136	7
7	GO:0000022 mitotic spindle elongation	orf19.564;orf19.6610;orf19.6034;orf19.643;orf19.712;orf19.7377;orf19.6285;orf19.6170;orf19.5534;orf19.6424	10
10	GO:0000027 ribosomal large subunit assembly	orf19.7624;orf19.4746;orf19.7545;orf19.4537;orf19.4697;orf19.3276;orf19.6346;orf19.773;orf19.7422;orf19.2485;orf19.4760;orf19.7154;orf19.3962;orf19.6686;orf19.7332;orf19.2527;orf19.6541;orf19.3547;orf19.475;orf19.6992;orf19.920;orf19.7215;orf19.1642;orf19.3778;orf19.3553;orf19.7552;orf19.1624;orf19.4029;orf19.2541;orf19.6222;orf19.4835;orf19.3003.1;orf19.1635;orf19.4479;orf19.7635;orf19.927;orf19.5912;orf19.5931;orf19.5065;orf19.4627;orf19.58;orf19.3463;orf19.6417;orf19.4401;orf19.5198;orf19.3413;orf19.6862;orf19.6298;orf19.1119;orf19.2017;orf19.3481;orf19.5232;orf19.5991;orf19.5884;orf19.1839;orf19.6589;orf19.1791;orf19.124;orf19.7198;orf19.1569;orf19.7367;orf19.939;orf19.702;orf19.7015;orf19.501;orf19.5847;orf19.6886;orf19.5220;orf19.4080;orf19.259;orf19.1687;orf19.2232;orf19.3788;orf19.5243;orf19.5850;orf19.429;orf19.5356;orf19.262;orf19.2935;orf19.3287;orf19.2319;orf19.1609;orf19.1047;orf19.3695;orf19.5597;orf19.3957;orf19.51;orf19.2507;orf19.7650;orf19.1335;orf19.6780;orf19.2504;orf19.6902;orf19.6577;orf19.4363;orf19.687.1;orf19.3540;orf19.3687;orf19.1601;orf19.6648;orf19.76;orf19.4808;orf19.7062;orf19.6234	104
11	GO:0000028 ribosomal small subunit assembly	orf19.3276;orf19.4336;orf19.3087;orf19.5835;orf19.4149.1;orf19.4018;orf19.6975;orf19.2329.1;orf19.7048.1;orf19.6265.1;orf19.6598;orf19.413.1;orf19.6286.2	13
12	GO:0000032 cell wall mannoprotein biosynthetic process	orf19.2881;orf19.7391;orf19.5557;orf19.6190;orf19.4475;orf19.5658;orf19.7383;orf19.4494;orf19.6738;orf19.2343.1;orf19.1665;orf19.1010;orf19.1663;orf19.1390;orf19.3688;orf19.5171;orf19.4109;orf19.3622	18
