orf19_column	feature_column	common_column	plate_column	condition	UP	DN	batch	DOX
orf19	feature	common	plate	FBS	A_FBS_UP	A_FBS_DN	1	FALSE
orf19	feature	common	plate	FBS	B_FBS_UP	B_FBS_DN	1	FALSE
orf19	feature	common	plate	FBS	C_FBS_UP	C_FBS_DN	1	FALSE
orf19	feature	common	plate	FBS	D_FBS_UP	D_FBS_DN	2	FALSE
orf19	feature	common	plate	FBS	E_FBS_UP	E_FBS_DN	2	FALSE
orf19	feature	common	plate	FBS	F_FBS_UP	F_FBS_DN	2	FALSE
orf19	feature	common	plate	FBS	A_FBS_DOX_UP	A_FBS_DOX_DN	1	TRUE
orf19	feature	common	plate	FBS	B_FBS_DOX_UP	B_FBS_DOX_DN	1	TRUE
orf19	feature	common	plate	FBS	C_FBS_DOX_UP	C_FBS_DOX_DN	1	TRUE
orf19	feature	common	plate	FBS	D_FBS_DOX_UP	D_FBS_DOX_DN	2	TRUE
orf19	feature	common	plate	FBS	E_FBS_DOX_UP	E_FBS_DOX_DN	2	TRUE
orf19	feature	common	plate	FBS	F_FBS_DOX_UP	F_FBS_DOX_DN	2	TRUE
orf19	feature	common	plate	Iron	A_FeFree_UP	A_FeFree_DN	1	FALSE
orf19	feature	common	plate	Iron	B_FeFree_UP	B_FeFree_DN	1	FALSE
orf19	feature	common	plate	Iron	C_FeFree_UP	C_FeFree_DN	1	FALSE
orf19	feature	common	plate	Iron	D_Iron_UP	D_Iron_DN	2	FALSE
orf19	feature	common	plate	Iron	E_Iron_UP	E_Iron_DN	2	FALSE
orf19	feature	common	plate	Iron	F_Iron_UP	F_Iron_DN	2	FALSE
orf19	feature	common	plate	Iron	A_FeFree_DOX_UP	A_FeFree_DOX_DN	1	TRUE
orf19	feature	common	plate	Iron	B_FeFree_DOX_UP	B_FeFree_DOX_DN	1	TRUE
orf19	feature	common	plate	Iron	C_FeFree_DOX_UP	C_FeFree_DOX_DN	1	TRUE
orf19	feature	common	plate	Iron	D_Iron_DOX_UP	D_Iron_DOX_DN	2	TRUE
orf19	feature	common	plate	Iron	E_Iron_DOX_UP	E_Iron_DOX_DN	2	TRUE
orf19	feature	common	plate	Iron	F_Iron_DOX_UP	F_Iron_DOX_DN	2	TRUE
orf19	feature	common	plate	Temp37	A_37_UP	A_37_DN	1	FALSE
orf19	feature	common	plate	Temp37	B_37_UP	B_37_DN	1	FALSE
orf19	feature	common	plate	Temp37	C_37_UP	C_37_DN	1	FALSE
orf19	feature	common	plate	Temp37	D_Temp37_UP	D_Temp37_DN	2	FALSE
orf19	feature	common	plate	Temp37	E_Temp37_UP	E_Temp37_DN	2	FALSE
orf19	feature	common	plate	Temp37	F_Temp37_UP	F_Temp37_DN	2	FALSE
orf19	feature	common	plate	Temp37	A_37_DOX_UP	A_37_DOX_DN	1	TRUE
orf19	feature	common	plate	Temp37	B_37_DOX_UP	B_37_DOX_DN	1	TRUE
orf19	feature	common	plate	Temp37	C_37_DOX_UP	C_37_DOX_DN	1	TRUE
orf19	feature	common	plate	Temp37	D_Temp37_DOX_UP	D_Temp37_DOX_DN	2	TRUE
orf19	feature	common	plate	Temp37	E_Temp37_DOX_UP	E_Temp37_DOX_DN	2	TRUE
orf19	feature	common	plate	Temp37	F_Temp37_DOX_UP	F_Temp37_DOX_DN	2	TRUE
orf19	feature	common	plate	YPD	A_YPD_UP	A_YPD_DN	1	FALSE
orf19	feature	common	plate	YPD	B_YPD_UP	B_YPD_DN	1	FALSE
orf19	feature	common	plate	YPD	C_YPD_UP	C_YPD_DN	1	FALSE
orf19	feature	common	plate	YPD	D_YPD_UP	D_YPD_DN	2	FALSE
orf19	feature	common	plate	YPD	E_YPD_UP	E_YPD_DN	2	FALSE
orf19	feature	common	plate	YPD	F_YPD_UP	F_YPD_DN	2	FALSE
orf19	feature	common	plate	YPD	A_YPD_DOX_UP	A_YPD_DOX_DN	1	TRUE
orf19	feature	common	plate	YPD	B_YPD_DOX_UP	B_YPD_DOX_DN	1	TRUE
orf19	feature	common	plate	YPD	C_YPD_DOX_UP	C_YPD_DOX_DN	1	TRUE
orf19	feature	common	plate	YPD	D_YPD_DOX_UP	D_YPD_DOX_DN	2	TRUE
orf19	feature	common	plate	YPD	E_YPD_DOX_UP	E_YPD_DOX_DN	2	TRUE
orf19	feature	common	plate	YPD	F_YPD_DOX_UP	F_YPD_DOX_DN	2	TRUE
orf19	feature	common	plate	NaCl	A_NaCl_UP	A_NaCl_DN	1	FALSE
orf19	feature	common	plate	NaCl	B_NaCl_UP	B_NaCl_DN	1	FALSE
orf19	feature	common	plate	NaCl	C_NaCl_UP	C_NaCl_DN	1	FALSE
orf19	feature	common	plate	NaCl	NaCl_D_S1_L001_UP	NaCl_D_S1_L001_DOWN	2	FALSE
orf19	feature	common	plate	NaCl	NaCl_E_S2_L001_UP	NaCl_E_S2_L001_DOWN	2	FALSE
orf19	feature	common	plate	NaCl	NaCl_F_S3_L001_UP	NaCl_F_S3_L001_DOWN	2	FALSE
orf19	feature	common	plate	NaCl	A_NaCl_DOX_UP	A_NaCl_DOX_DN	1	TRUE
orf19	feature	common	plate	NaCl	B_NaCl_DOX_UP	B_NaCl_DOX_DN	1	TRUE
orf19	feature	common	plate	NaCl	C_NaCl_DOX_UP	C_NaCl_DOX_DN	1	TRUE
orf19	feature	common	plate	NaCl	NaClDOX_D_S4_L001_UP	NaClDOX_D_S4_L001_DOWN	2	TRUE
orf19	feature	common	plate	NaCl	NaClDOX_E_S5_L001_UP	NaClDOX_E_S5_L001_DOWN	2	TRUE
orf19	feature	common	plate	NaCl	NaClDOX_F_S6_L001_UP	NaClDOX_F_S6_L001_DOWN	2	TRUE
orf19	feature	common	plate	SDS	A_SDS_UP	A_SDS_DN	1	FALSE
orf19	feature	common	plate	SDS	B_SDS_UP	B_SDS_DN	1	FALSE
orf19	feature	common	plate	SDS	C_SDS_UP	C_SDS_DN	1	FALSE
orf19	feature	common	plate	SDS	D_SDS_UP	D_SDS_DN	2	FALSE
orf19	feature	common	plate	SDS	E_SDS_UP	E_SDS_DN	2	FALSE
orf19	feature	common	plate	SDS	F_SDS_UP	F_SDS_DN	2	FALSE
orf19	feature	common	plate	SDS	A_SDS_DOX_UP	A_SDS_DOX_DN	1	TRUE
orf19	feature	common	plate	SDS	B_SDS_DOX_UP	B_SDS_DOX_DN	1	TRUE
orf19	feature	common	plate	SDS	C_SDS_DOX_UP	C_SDS_DOX_DN	1	TRUE
orf19	feature	common	plate	SDS	D_SDS_DOX_UP	D_SDS_DOX_DN	2	TRUE
orf19	feature	common	plate	SDS	E_SDS_DOX_UP	E_SDS_DOX_DN	2	TRUE
orf19	feature	common	plate	SDS	F_SDS_DOX_UP	F_SDS_DOX_DN	2	TRUE
orf19	feature	common	plate	Sorbitol	A_Sorbitol_UP	A_Sorbitol_DN	1	FALSE
orf19	feature	common	plate	Sorbitol	B_Sorbitol_UP	B_Sorbitol_DN	1	FALSE
orf19	feature	common	plate	Sorbitol	C_Sorbitol_UP	C_Sorbitol_DN	1	FALSE
orf19	feature	common	plate	Sorbitol	D_Sorbitol_UP	D_Sorbitol_DN	2	FALSE
orf19	feature	common	plate	Sorbitol	E_Sorbitol_UP	E_Sorbitol_DN	2	FALSE
orf19	feature	common	plate	Sorbitol	F_Sorbitol_UP	F_Sorbitol_DN	2	FALSE
orf19	feature	common	plate	Sorbitol	A_Sorbitol_DOX_UP	A_Sorbitol_DOX_DN	1	TRUE
orf19	feature	common	plate	Sorbitol	B_Sorbitol_DOX_UP	B_Sorbitol_DOX_DN	1	TRUE
orf19	feature	common	plate	Sorbitol	C_Sorbitol_DOX_UP	C_Sorbitol_DOX_DN	1	TRUE
orf19	feature	common	plate	Sorbitol	D_Sorbitol_DOX_UP	D_Sorbitol_DOX_DN	2	TRUE
orf19	feature	common	plate	Sorbitol	E_Sorbitol_DOX_UP	E_Sorbitol_DOX_DN	2	TRUE
orf19	feature	common	plate	Sorbitol	F_Sorbitol_DOX_UP	F_Sorbitol_DOX_DN	2	TRUE
orf19	feature	common	plate	YNB	A_CONT_UP	A_CONT_DN	1	FALSE
orf19	feature	common	plate	YNB	B_CONT_UP	B_CONT_DN	1	FALSE
orf19	feature	common	plate	YNB	C_CONT_UP	C_CONT_DN	1	FALSE
orf19	feature	common	plate	YNB	A_CONT_DOX_UP	A_CONT_DOX_DN	1	TRUE
orf19	feature	common	plate	YNB	B_CONT_DOX_UP	B_CONT_DOX_DN	1	TRUE
orf19	feature	common	plate	YNB	C_CONT_DOX_UP	C_CONT_DOX_DN	1	TRUE
orf19	feature	common	plate	YNB	A_YNB_BIO_UP	A_YNB_BIO_DN	2	FALSE
orf19	feature	common	plate	YNB	B_YNB_BIO_UP	B_YNB_BIO_DN	2	FALSE
orf19	feature	common	plate	YNB	C_YNB_BIO_UP	C_YNB_BIO_DN	2	FALSE
orf19	feature	common	plate	YNB	A_YNB_BIO_DOX_UP	A_YNB_BIO_DOX_DN	2	TRUE
orf19	feature	common	plate	YNB	B_YNB_BIO_DOX_UP	B_YNB_BIO_DOX_DN	2	TRUE
orf19	feature	common	plate	YNB	C_YNB_BIO_DOX_UP	C_YNB_BIO_DOX_DN	2	TRUE
orf19	feature	common	plate	YNB	D_YNB1_UP	D_YNB1_DN	3	FALSE
orf19	feature	common	plate	YNB	E_YNB1_UP	E_YNB1_DN	3	FALSE
orf19	feature	common	plate	YNB	F_YNB1_UP	F_YNB1_DN	3	FALSE
orf19	feature	common	plate	YNB	D_YNB1_DOX_UP	D_YNB1_DOX_DN	3	TRUE
orf19	feature	common	plate	YNB	E_YNB1_DOX_UP	E_YNB1_DOX_DN	3	TRUE
orf19	feature	common	plate	YNB	F_YNB1_DOX_UP	F_YNB1_DOX_DN	3	TRUE
orf19	feature	common	plate	YNB	D_YNB2_UP	D_YNB2_DN	4	FALSE
orf19	feature	common	plate	YNB	E_YNB2_UP	E_YNB2_DN	4	FALSE
orf19	feature	common	plate	YNB	F_YNB2_UP	F_YNB2_DN	4	FALSE
orf19	feature	common	plate	YNB	D_YNB2_DOX_UP	D_YNB2_DOX_DN	4	TRUE
orf19	feature	common	plate	YNB	E_YNB2_DOX_UP	E_YNB2_DOX_DN	4	TRUE
orf19	feature	common	plate	YNB	F_YNB2_DOX_UP	F_YNB2_DOX_DN	4	TRUE
orf19	feature	common	plate	YNB	D_YNB3_UP	D_YNB3_DN	5	FALSE
orf19	feature	common	plate	YNB	E_YNB3_UP	E_YNB3_DN	5	FALSE
orf19	feature	common	plate	YNB	F_YNB3_UP	F_YNB3_DN	5	FALSE
orf19	feature	common	plate	YNB	D_YNB3_DOX_UP	D_YNB3_DOX_DN	5	TRUE
orf19	feature	common	plate	YNB	E_YNB3_DOX_UP	E_YNB3_DOX_DN	5	TRUE
orf19	feature	common	plate	YNB	F_YNB3_DOX_UP	F_YNB3_DOX_DN	5	TRUE
