orf19	names
orf19.6109	TUP1
orf19.6096	TRP1
orf19.6094	VPS53
orf19.6091	RIM8
orf19.6090	NSR1_S.cer
orf19.6086	LEU4
orf19.6082	GSF2_S.cer
orf19.6081	PHR2
orf19.6072	CDC13
orf19.6071	MDM20_S.cer
orf19.6070	ENA2
orf19.6068	SVF1
orf19.6066	HFD1_S.cer
orf19.6064	ATG18_S.cer
orf19.6063	UBP6
orf19.6061	FMP30_S.cer
orf19.6060	GCN20
orf19.6059	TTR1
orf19.6058	GLO1
orf19.6057	ECM31_S.cer
orf19.6055	orf19.6055
orf19.6054	orf19.6054
orf19.6045	PSD1
orf19.6043	orf19.6043
orf19.6041	RPO41
orf19.6038	UGA32
orf19.6035	orf19.6035
orf19.6034	TUB2
orf19.6033	CMP1
orf19.6029	ROT1
orf19.6028	HGC1
orf19.6020	ATG3_S.cer
orf19.6016	GEM1_S.cer
orf19.6012	YOR296W_S.cer
orf19.6011	SIN3
orf19.6010.1	RPB11
orf19.3290	orf19.3290
orf19.3291	HMT1
orf19.3292	MXR2_S.cer
orf19.3295	orf19.3295
orf19.3296	orf19.3296
orf19.3298	CCH1
orf19.3302	orf19.3302
orf19.3307	FMO1_S.cer
orf19.3308	STB5
orf19.3315	CTA9
orf19.3319	orf19.3319
orf19.3321	MRS7
orf19.3324	TIF
orf19.3325	GLG2_S.cer
orf19.3327	TRM2
orf19.3329	LCB3_S.cer
orf19.3330	CRL1
orf19.3335	orf19.3335
orf19.3340	SOD2
orf19.3345	SIZ1
orf19.3348	MRPL23_S.cer
orf19.3350	MRP20
orf19.3352	orf19.3352
orf19.3353	orf19.3353
orf19.3355	ISN1
orf19.3356	ESP1
orf19.3357	FYV4_S.cer
orf19.4551	CTN1
orf19.4550	YCR023C_S.cer
orf19.4548	MAK32
orf19.4546	HOL4
orf19.4537	DST1_S.cer
orf19.4535	PTR3
orf19.4534	UBX7_S.cer
orf19.4529	SRP21_S.cer
orf19.4528	ENV10_S.cer
orf19.4526	HSP30
orf19.4525	PER33_S.cer
orf19.4524	ZCF24
orf19.3669	SHA3
orf19.3670	GAL1
orf19.3672	GAL10
orf19.3679	YNL200C_S.cer
orf19.3680	SEP7
orf19.3686	ATP12_S.cer
orf19.3687	PFD1_S.cer
orf19.3689	YLR345W_S.cer
orf19.2926	PSO2_S.cer
orf19.2929	GSC1
orf19.2930	YGR054W_S.cer
orf19.2933	OTU1_S.cer
orf19.2934	BUD20_S.cer
orf19.2935	RPL10
orf19.2939	FMP32_S.cer
orf19.2941	SCW4
orf19.2942	DIP5
orf19.2945	PUT4
orf19.2946	HNM4
orf19.2947	SNZ1
orf19.2948	SNO1
orf19.2949	IML1
orf19.2951	HOM6
orf19.2952	EXG2
orf19.2954	orf19.2954
orf19.2956	MGM101
orf19.2961	orf19.2961
orf19.2964	RSC2_S.cer
orf19.2965	GET3_S.cer
orf19.2966	YDL086W_S.cer
orf19.2969	RAD16
orf19.2970	LYS2
orf19.2972	PDE2
orf19.2973	VTS1_S.cer
orf19.2975	YPT7
orf19.2977	MIA40
orf19.2980	SPP382_S.cer
orf19.2983	CDC73
orf19.2984	MST1
orf19.2987	MDM31_S.cer
orf19.2988	orf19.2988
orf19.2990	XOG1
orf19.2991	HOL1
orf19.2992	RPP1A
orf19.2994.1	RPS16A
orf19.2996	ECM30_S.cer
orf19.2998	TSR2
orf19.3002	RPS1
orf19.3003	TCB3_S.cer
orf19.3003.1	RPL6
orf19.3006	GGA2
orf19.3010	LIP2_S.cer
orf19.3010.1	ECM33
orf19.3012	ARO80
orf19.3016	orf19.3016
orf19.3018	SPP1
orf19.3022	RSM24_S.cer
orf19.3023	NGG1
orf19.3029	EHD3
orf19.3030	ATG21_S.cer
orf19.3035	CHD1_S.cer
orf19.3037	PAB1_S.cer
orf19.3038	TPS2
orf19.3040	EHT1
orf19.3042	orf19.3042
orf19.3047	SIP3_S.cer
orf19.3049	SPS1_S.cer
orf19.3050	AGE1
orf19.3051	TDA4_S.cer
orf19.3061	IMP1
orf19.3064	MRPL27
orf19.3065	DAO1
orf19.3066	ENG1
orf19.1037	orf19.1037
orf19.1036	MNS1
orf19.1035	WAR1
orf19.1034	orf19.1034
orf19.1030	FPR3_S.cer
orf19.1028	ELA1
orf19.4459	YNL234W_S.cer
orf19.4461	orf19.4461
orf19.4464	SEN15
orf19.4466	ERF2_S.cer
orf19.4470	orf19.4470
orf19.4471	VPS64_S.cer
orf19.4473	SPC19
orf19.4474	CUZ1_S.cer
orf19.4475	KTR4
orf19.4481	MFALPHA
orf19.1040	MAD2
orf19.1041	CTK2_S.cer
orf19.1042	POR1
orf19.1051	HTA2
orf19.1053	BST1_S.cer
orf19.1054	POM33_S.cer
orf19.1055	CDC3
orf19.1057	orf19.1057
orf19.1058	RPN13_S.cer
orf19.1060	orf19.1060
orf19.1062	orf19.1062
orf19.1063	GPI18_S.cer
orf19.1066	GIG1
orf19.1069	RPN4
orf19.1070	YMR010W_S.cer
orf19.5195	URA6
orf19.6844	ICL1
orf19.6845	orf19.6845
orf19.6846	PHO85
orf19.6847	TRM44_S.cer
orf19.6850	RMD5_S.cer
orf19.6851	CHL4
orf19.6854	ATP1
orf19.782	LDH1_S.cer
orf19.781	DUR3
orf19.779	HAT1
orf19.778	PIL1
orf19.769	IFE1
orf19.764	SCY1_S.cer
orf19.763	CBC2_S.cer
orf19.758	MRL1_S.cer
orf19.757	YPR089W_S.cer
orf19.756	SAP7
orf19.754	YBN5
orf19.752	orf19.752
orf19.51	CLU1_S.cer
orf19.52	MMT1_S.cer
orf19.56	ARG2
orf19.58	RRP6
orf19.59	REI1
orf19.4064	GPI7
orf19.4063	GPT1
orf19.4062	TRY2
orf19.4060	ARO4
orf19.4056	BRG1
orf19.445	YNR040W_S.cer
orf19.434	PRD1
orf19.432	YDR306C_S.cer
orf19.430	YPT53
orf19.429	PAP2_S.cer
orf19.428	IKS1_S.cer
orf19.426	orf19.426
orf19.425	YOL114C_S.cer
orf19.415	MIC26_S.cer
orf19.414	RSM22
orf19.412	SSH1
orf19.2485	NUP170_S.cer
orf19.2483	RIM1
orf19.2481	orf19.2481
orf19.2478.1	RPL7A_S.cer
orf19.2476	ECM5_S.cer
orf19.2475	PGA26
orf19.2474	PRC3
orf19.2471	GIM5
orf19.2468	TMT1_S.cer
orf19.2467	PRN1
orf19.2463	PRN2
orf19.2462	PRN3
orf19.2461	PRN4
orf19.2458	SIP5
orf19.2454	PHO87
orf19.2451	PGA45
orf19.2446	YDL144C_S.cer
orf19.2445	orf19.2445
orf19.2444	CHS7
orf19.2443	RGD1
orf19.2439	ACP1
orf19.2438	MRPS12_S.cer
orf19.2436	SKY1_S.cer
orf19.2432	HAC1
orf19.1826	MDM34
orf19.1823	orf19.1823
orf19.1822	UME6
orf19.6275	YPK3_S.cer
orf19.6271	THP3_S.cer
orf19.6263	MCH4_S.cer
orf19.6247	CTF4_S.cer
orf19.6246	NAT3_S.cer
orf19.6243	VPS34
orf19.6237	RAC1
orf19.6232	NPR1
orf19.6230	RAI1_S.cer
orf19.6225	PCL7
orf19.6224	orf19.6224
orf19.6222	SPO22
orf19.6214	ATC1
orf19.6209	MCH2_S.cer
orf19.6203	PUT3
orf19.6202	RBT4
orf19.6200	orf19.6200
orf19.6196	RTT102_S.cer
orf19.6195	RNH70_S.cer
orf19.6193	TAF145
orf19.4447	YMC1
orf19.4446	orf19.4446
orf19.4441	MCM10_S.cer
orf19.4440	SEC34
orf19.4438	RME1
orf19.4432	KSP1
orf19.4430	UBX5_S.cer
orf19.4424	PHO100
orf19.2798	IRC3_S.cer
orf19.2794	YBL036C_S.cer
orf19.2792	IST2
orf19.2791	BBC1
orf19.2785	ATP7
orf19.2782	GRX5_S.cer
orf19.2781	orf19.2781
orf19.1227	ZCF4
orf19.1233	ADE4
orf19.5053	ECO1_S.cer
orf19.5056	DOC1_S.cer
orf19.5058	SMI1
orf19.5061	ADE5,7
orf19.5064	MRPL3
orf19.5067	LRP1_S.cer
orf19.5068	IRE1
orf19.5071	NRP1
orf19.5078	OFR1
orf19.5079	CDR4
orf19.5083	DRG1
orf19.5087	BUD6
orf19.5098	NTG1
orf19.5102	PLB5
orf19.5103	orf19.5103
orf19.5105	MED15
orf19.5107	NOT5
orf19.5113	ADH2
orf19.5117	OLE1
orf19.5118	SDS24
orf19.386	SAM4
orf19.387	GCR3
orf19.388	CAF16
orf19.390	CDC42
orf19.391	UPC2
orf19.392	CBP4_S.cer
